No.,PS,year,venue,Name of venue,Source,Name,Negotiation,Moral agreement,Propose method for automation ,Implement ML,Technique code,Technique used,Negotiation Purpose,Type of Function,Limitation,Future work,Input,Output,Type of agent,Application Domain
1,PS1,2022,Workshop,AAAI.org,snowballing,Coalitional Negotiation Games with Emergent Communication,yes,yes,yes,yes,"In this paper,deep reinforcement learning (RL) algorithm is used to construct","Reinforcement learning,LSTM",agreement for cooperation,to perform jointly and divide the reward,improve,apply same technique in other games,"offers for reward,dialogues",offer for reward,autonomous,cooperative
2,PS2,2022,Conference,AAMAS,selection,Deep Learnable Strategy Templates for Multi-Issue Bilateral Negotiation,yes,yes,yes,yes,"We use deep reinforcement learning throughout an actor-critic architecture to estimate the tactic parameter, the negotiation process strictly follows the alternating-offers protocol.","Alternative offer protocol,Reinforcement learning","reward maximization,opponent modeling",reward maximization,bilateral,An open problem worth pursuing in the future is how to learn transferable strategies for concurrent bilateral negotiations over multiple issues.,"offers for reward,opponent offers",offer for reward,autonomous,economics
3,PS3,2022,Journal,MBE -Mathematical Biosciences and Engineering ,snowballing,Deep reinforcement learning with emergent communication for coalitional negotiation games,yes,yes,yes,yes,"In this paper,deep reinforcement learning (RL) algorithm is used to construct",Reinforcement learning,agreement for cooperation,to perform jointly and divide the reward,improve,using NLP to communicate with human agents,"offers for reward,dialogues",offer for reward,autonomous,cooperative
4,PS4,2022,Workshop,Workshop on Reinforcement Learning in Games,snowballing,A Bayesian Policy Reuse Approach for Bilateral Negotiation Games,yes,yes,yes,yes,A novel approach is proposed based on deep Bayesian policy reuse and a learning module based on deep reinforcement learning to learn a new response policy,"Alternative offer protocol,Reinforcement learning,Bayesian Learning",opponent modeling,REWARD MAXIMIZATION,bilateral,"the extension of this framework to other negotiation settings,such as concurrent negotiation or multi-lateral negotiation,is an interesting avenue to exploit",opponent offers,counter offers,autonomous,competing
5,PS10,2021,Conference,ICTAI -IEEE 33rd International Conference on Tools with Artificial Intelligence,snowballing,A deep reinforcement learning-based agent for negotiation with multiple communication channels,yes,yes,yes,yes,"We consider the bilateral multi-issue negotiation, We follows the process of the alternative offer protocol.  agent that is based on deep reinforcement learning (DRL)","Alternative offer protocol,Reinforcement learning",reward maximization,REWARD MAXIMIZATION,"bilateral, involves human agent",to explore how to learn more sophisticated linguistic communication skills and apply them to natural language processing to achieve a more application-oriented architecture,offers for reward,offer for reward,semi autonomous,economics
6,PS11,2021,Conference,PRICAI -International Conference on Artificial Intelligence,snowballing,Detecting and Learning Against Unknown Opponents for Automated Negotiations,yes,yes,yes,yes,We provide a RL-based formulation for automated negotiation. The negotiation protocol we use in this paper is the stacked alternating offers protocol,"Alternative offer protocol,Reinforcement learning","reward maximization,opponent modeling",reward maximization,bilateral,the extension of this framework to multi-lateral negotiation,opponent offers,counter offers,autonomous,generic
7,PS12,2021,Journal,RAIRO Operations Research,snowballing,A BILEVEL GAME MODEL FOR ASCERTAINING COMPETITIVE TARGET PRICES FOR A BUYER IN NEGOTIATION WITH MULTIPLE SUPPLIERS,yes,yes,yes,yes,A genetic-algorithm-based technique is designed in general for solving large-scale instances of the variant of bilevel programming problems,Genetic Algorithm,reward maximization,to dentify the target price for buyers negotiation with multiple seller,"single issue,involves human agent",to specifically design an algorithm for handling MLCF bilevel programming problems with integer variables in a large-scale situation,offers for reward,offer for reward,semi autonomous,economics
8,PS49a,2021,Conference,IJCAI,selection,A Deep Reinforcement Learning Approach to Concurrent Bilateral Negotiation,yes,yes,yes,yes,We choose deep neural networks as they provide a rich class of strategy functions to capture the complex decisions-making required,Neural Network,"reward maximization,opponent modeling",reward maximization,"bilateral,single issue",multi-issue negotiations and dynamic opponent strategies.,opponent offers,counter offers,autonomous,economics
9,PS49b,2021,Journal,Autonomous Agents and Multi-Agent Systems Journal,snowballing,ANEGMA: an automated negotiation model for e‑markets,yes,yes,yes,yes,We choose to work with deep neural networks,Neural Network,"reward maximization,opponent modeling",reward maximization,"bilateral,single issue",multilateral negotiation,opponent offers,counter offers,autonomous,economics
10,PS5,2021,Conference,IJCNN,selection,Distributed Emergent Agreements with Deep Reinforcement Learning,yes,yes,yes,yes,we augment deep reinforcement learning agents with the capability to build agreements,Reinforcement learning,"reward maximization,agreement for cooperation",reward maximization,improve,improving the algorithm,dialogues,offer for reward,autonomous,cooperative
11,PS6,2021,Conference,AAMAS,selection,An Autonomous Negotiating Agent Framework with Reinforcement Learning based Strategies and Adaptive Strategy Switching Mechanism,yes,yes,yes,yes,We demonstrate an instance of our framework by implementing maximum entropy reinforcement learning based strategies with a deep learning based opponent classifier. The negotiation protocol used throughout this paper is the stacked alternating offers protocol.,"Alternative offer protocol,Reinforcement learning","reward maximization,opponent modeling",reward maximization,"bilateral,time dependent",training the acceptance strategy together with the bidding strategy and using unsupervised clustering algorithms on the negotiators bidding behaviour to differentiate a new negotiator from the pool of negotiators,opponent offers,counter offers,autonomous,generic
12,PS7,2021,Conference,CDC,selection,Convergence of probabilistic automatic negotiation: mutual maximum likelihood estimation,yes,yes,yes,yes,the offers are decided based on utility functions where ..represents a Gaussian function,Gaussian probability,"reward maximization,opponent modeling",reward maximization,bilateral,multi lateral,opponent offers,counter offers,autonomous,competing
13,PS8,2021,Journal,Advanced Engineering Informatics,snowballing,A context-aware approach to automated negotiation using reinforcement learning,yes,yes,yes,yes,"In this work,the Q-Learning algorithm will be. the focus of learning to negotiate is made on bilateral negotiations between two agents negotiating over one single issue with discrete values using a discrete timeline. The alternating offers protocol","Alternative offer protocol,Reinforcement learning",reward maximization,reward maximization,"bilateral,single issue,improve",To use Deep RL to provide agents with the ability to cope with such an overwhelming load of information. And to use inverse RL,offers for reward,offer for reward,autonomous,economics
14,PS9,2021,Conference,International FLAIRS Conference Proceedings,snowballing,Exploring Monte Carlo Negotiation Search with Nontrivial Agreements,yes,yes,yes,no,Our first contribution is the development of Monte Carlo Agreement Tree Search,Monte Carlo Tree search ,reward maximization,reward maximization,improve,improve,"offers for reward,rules",offer for reward,autonomous,cooperative
15,PS13,2020,Conference,AAMAS,selection,A Supervised Topic Model Approach to Learning Effective Styles within Human-Agent Negotiation,yes,yes,yes,yes,we apply regularized linear regression over a negotiation dataset,Linear Regression,reward maximization,reward maximization,involves human agent,autonomous,offers for reward,offer for reward,semi autonomous,generic
16,PS14,2020,Journal,International Journal of Web Research,snowballing,Modeling Opponent Strategy in Multi-Issue Bilateral Automated Negotiation Using Machine Learning,yes,yes,yes,yes,"The proposed buyer agent is designed to learn the opponent's strategies during the negotiation process using four methods: Bayesian Learning,Kernel Density Estimation,Multilayer Perceptron Neural Network,and Nonlinear Regression","Bayesian Learning,Neural Network,Nonlinear Regression","reward maximization,opponent modeling","reward maximization,OPPONENT MODELING",time dependent,to check the possibility to continue the negotiation after agreemet if by any chance the higher utility is expected,"offers for reward,opponent offers",counter offers,autonomous,economics
17,PS15,2020,Journal,AIJ - Artificial Intelligence Journal,selection,Negotiating team formation using deep reinforcement learning,yes,yes,yes,yes,training agents to negotiate and form teams using deep reinforcement learning,Reinforcement learning,agreement for cooperation,negotiating to find a high reward in team for task completion,improve,applying deep learning to team-formation negotiation tasks,offers for reward,offer for reward,autonomous,cooperative
18,PS16,2020,Journal,ĲAIT,snowballing,A Hybrid Concession Mechanism for Negotiating Software Agents in Competitive Environments,yes,yes,yes,no,"In this model,agents use the alternating offers protocol",Alternative offer protocol,reward maximization,to find the offer with maximum benefit,"bilateral,single issue",multi issue negotiation using ML techniques,offers for reward,offer for reward,autonomous,economics
19,PS17,2020,Journal,"International Journal of Wavelets,Multiresolution and Information Processing",snowballing,Agent-based cloud service negotiation architecture using similarity grouping approach,yes,yes,yes,yes,"A novel Angle-based Similarity Grouping Approach is proposed,Incorporation of Alternate Offer Protocol for supporting bilateral negotiation","Alternative offer protocol,Angle based Similarirty",reward maximization,group negotiation pairs with same utility values,"bilateral,single issue",using the Hidden Markov Chain model for resolving the negotiation conflict,offers for reward,offer for reward,autonomous,economics
20,PS18,2020,Journal,Turkish Journal of Electrical Engineering and Computer Sciences,snowballing,Deep reinforcement learning for acceptance strategy in bilateral negotiations,yes,yes,yes,yes,This paper introduces an acceptance strategy based on reinforcement learning. The agents take their actions in a turn-taking fashion by following the alternating offers protocol,"Alternative offer protocol,Reinforcement learning",opponent modeling,to focus on opponents offers,"bilateral,time dependent",aplly these acceptance strategies in huamn-computer interaction,"offers for reward,opponent offers",counter offers,autonomous,generic
21,PS48a,2020,Conference,AAMAS,selection,Strategic Negotiations for Extensive-Form Games,yes,yes,yes,no,We have implemented an algorithm that we call Monte Carlo Negotiation Search (MCNS,Monte Carlo Tree search ,agreement for cooperation,reward maximization,bilateral,multilateral negotiation,offers for reward,offer for reward,autonomous,cooperative
22,PS19,2019,Conference,AAMAS,selection,RLBOA: A Modular Reinforcement Learning Framework for Autonomous Negotiating Agents,yes,yes,yes,yes,we propose a modular reinforcement learning (RL) framework to develop general negotiation agents. our experiments focus on a bilateral round-based alternating offers negotiation protocol,"Alternative offer protocol,Reinforcement learning","reward maximization,opponent modeling",reward maximization,bilateral,multi-issue negotiations,opponent offers,counter offers,autonomous,generic
23,PS20,2019,Conference,AAMAS,selection,Argumentation-based Negotiation with Incomplete Opponent Profiles,yes,yes,yes,yes,This work provides a complete computational account of argumentation-based negotiation,Argumentation,reward maximization,reward maximization,"single issue,involves human agent",multi issue,"offers for reward,dialogues",offer for reward,semi autonomous,economics
